backend,mode,extra_args,concurrency,run_id,status,total_throughput,h1,h2,h3,h4,h5,cpu_all_avg,cpu_leader_avg,leader_queue_depth_avg,fastpath_attempt_rate,fastpath_success_rate,original_path_rate,error_count,error_summary,log_path
mongodb,adaptive,,400,66,OK,1659.80,320.00,340.00,320.00,340.00,339.80,NA,16.0000,1.0000,79.80,79.80,20.20,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_rule_mongodb/conc400_attempt0.log
zookeeper,original,,1,67,OK,39.60,8.10,7.80,7.80,8.10,7.80,NA,4.6100,.4720,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_none_zookeeper/conc1_attempt0.log
zookeeper,original,,5,68,OK,270.10,53.90,54.70,53.80,53.70,54.00,NA,7.0500,1.0480,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_none_zookeeper/conc5_attempt0.log
zookeeper,original,,10,69,OK,570.00,114.70,113.10,113.80,113.40,115.00,NA,5.0200,1.4380,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_none_zookeeper/conc10_attempt0.log
zookeeper,original,,25,70,OK,1475.50,294.30,296.00,293.60,294.80,296.80,NA,5.9900,1.8560,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_none_zookeeper/conc25_attempt0.log
zookeeper,original,,50,71,OK,2959.20,589.50,592.90,590.80,593.10,592.90,NA,6.1900,3.1560,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_none_zookeeper/conc50_attempt0.log
zookeeper,original,,75,72,OK,4460.10,890.60,890.70,889.80,892.20,896.80,NA,6.5400,3.6920,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_none_zookeeper/conc75_attempt0.log
zookeeper,original,,100,73,OK,5360.40,1087.60,1067.00,1067.70,1068.50,1069.60,NA,9.2800,848.3520,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_none_zookeeper/conc100_attempt0.log
zookeeper,original,,150,74,OK,5647.60,1148.20,1123.60,1122.00,1126.80,1127.00,NA,9.2000,926.1940,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_none_zookeeper/conc150_attempt0.log
zookeeper,original,,200,75,OK,5589.90,1135.60,1124.10,1114.00,1121.00,1095.20,NA,8.4800,819.0140,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_none_zookeeper/conc200_attempt0.log
zookeeper,original,,300,76,OK,5488.60,1151.50,1048.80,1084.30,1095.40,1108.60,NA,8.6900,735.6180,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_none_zookeeper/conc300_attempt0.log
zookeeper,original,,400,77,OK,5223.20,1056.00,1052.20,1034.10,1038.10,1042.80,NA,9.5800,1301.8460,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_none_zookeeper/conc400_attempt0.log
zookeeper,fastpath-100,-m 100,1,78,OK,41.30,8.30,8.30,7.90,8.00,8.80,NA,4.1800,2.7301,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_rule_zookeeper/conc1_attempt0.log
zookeeper,fastpath-100,-m 100,5,79,OK,271.30,53.50,54.80,54.90,54.20,53.90,NA,7.2600,12.7890,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_rule_zookeeper/conc5_attempt0.log
zookeeper,fastpath-100,-m 100,10,80,OK,573.70,114.10,115.20,114.40,115.50,114.50,NA,9.2400,25.4055,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_rule_zookeeper/conc10_attempt0.log
zookeeper,fastpath-100,-m 100,25,81,OK,1467.70,291.70,293.00,292.70,294.60,295.70,NA,9.3300,66.4539,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_rule_zookeeper/conc25_attempt0.log
zookeeper,fastpath-100,-m 100,50,82,OK,2959.20,595.50,590.60,591.90,592.40,588.80,NA,6.4500,138.5513,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_rule_zookeeper/conc50_attempt0.log
